epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,125.351,1.61293,2.81487,0.01687,0.52157,0.49969,0.46555,0.22531,1.72498,1.86192,0.02462,0.00996503,0.00332168,0.00996503,0.00332168,0.00996503,0.00332168,0.00996503,0.00332168
2,223.337,1.61687,1.80062,0.01689,0.4397,0.3839,0.34404,0.14712,1.88423,2.24421,0.02789,0.0198662,0.00662207,0.0198662,0.00662207,0.0198662,0.00662207,0.0198662,0.00662207
3,319.789,1.71713,1.87058,0.0189,0.47458,0.42655,0.4007,0.17164,1.99072,2.12786,0.0308,0.0296684,0.00988946,0.0296684,0.00988946,0.0296684,0.00988946,0.0296684,0.00988946
4,412.195,1.76318,1.86307,0.01946,0.40541,0.41878,0.3376,0.14045,2.04885,2.46769,0.03225,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,506.104,1.7174,1.79821,0.019,0.55099,0.51762,0.51526,0.24063,1.8454,1.83518,0.02746,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,600.054,1.70293,1.72931,0.01808,0.52536,0.48418,0.46644,0.20717,1.86326,1.90349,0.02829,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,692.994,1.69531,1.67865,0.0181,0.57941,0.55145,0.54847,0.26211,1.80731,1.62189,0.02638,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,788.829,1.67386,1.63019,0.0179,0.5957,0.55315,0.56599,0.27123,1.79009,1.6171,0.02654,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,884.57,1.64123,1.60531,0.01722,0.61089,0.59809,0.61069,0.30363,1.73801,1.52585,0.02444,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,981.963,1.63436,1.58573,0.01713,0.62646,0.58501,0.61944,0.31499,1.69417,1.49126,0.02356,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1078.02,1.62462,1.55224,0.01694,0.64502,0.59119,0.63307,0.32495,1.71765,1.45211,0.02393,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1174.47,1.60352,1.51265,0.01655,0.63935,0.58386,0.63076,0.3282,1.68225,1.46944,0.02328,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1270.29,1.61396,1.49146,0.01651,0.67998,0.60737,0.6546,0.344,1.6728,1.37455,0.02328,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1364.23,1.59376,1.46369,0.01644,0.65804,0.62149,0.66498,0.3514,1.65598,1.3787,0.02263,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1455.89,1.5806,1.43175,0.0162,0.66691,0.62391,0.66519,0.35472,1.63807,1.36762,0.0219,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
