epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.3675,1.54761,3.77495,0.01573,0.44942,0.38771,0.35258,0.15392,1.69868,2.4595,0.02498,0.000554371,0.000554371,0.000554371
2,159.174,1.64022,2.33148,0.01789,0.47682,0.47223,0.44336,0.19377,1.8031,2.02414,0.02791,0.00108806,0.00108806,0.00108806
3,228.438,1.70594,2.0483,0.01874,0.49402,0.49321,0.452,0.19417,1.83016,1.99573,0.02953,0.00159974,0.00159974,0.00159974
4,292.724,1.71014,1.94428,0.01896,0.49159,0.49867,0.47972,0.23132,1.74037,1.8464,0.02494,0.00156798,0.00156798,0.00156798
5,356.527,1.68178,1.85912,0.01855,0.57702,0.55255,0.54578,0.25653,1.78169,1.72472,0.02649,0.00153497,0.00153497,0.00153497
6,418.864,1.66765,1.77974,0.01789,0.54727,0.53071,0.53346,0.24785,1.78303,1.739,0.02628,0.00150197,0.00150197,0.00150197
7,482.799,1.6541,1.7588,0.01781,0.60551,0.55354,0.58033,0.29261,1.73341,1.56081,0.0249,0.00146896,0.00146896,0.00146896
8,544.356,1.63763,1.70702,0.01752,0.60085,0.57668,0.59153,0.29633,1.73749,1.54995,0.02545,0.00143595,0.00143595,0.00143595
9,607.548,1.62328,1.67789,0.01729,0.59785,0.58124,0.59905,0.30273,1.71734,1.49874,0.02444,0.00140295,0.00140295,0.00140295
10,666.968,1.61514,1.67119,0.01711,0.61427,0.57946,0.61239,0.3198,1.69291,1.48327,0.02367,0.00136994,0.00136994,0.00136994
11,730.284,1.62485,1.65162,0.01697,0.59568,0.60142,0.60221,0.31172,1.67203,1.54114,0.02344,0.00133693,0.00133693,0.00133693
12,795.499,1.60054,1.62377,0.01673,0.64415,0.60855,0.631,0.32667,1.65062,1.47168,0.02289,0.00130393,0.00130393,0.00130393
13,859.962,1.60401,1.58191,0.01694,0.62232,0.59124,0.61324,0.32044,1.65509,1.47868,0.02323,0.00127092,0.00127092,0.00127092
14,926.74,1.58825,1.57514,0.01626,0.61322,0.59987,0.61902,0.32769,1.65453,1.44367,0.02297,0.00123791,0.00123791,0.00123791
15,988.393,1.5664,1.5476,0.01627,0.65288,0.60162,0.64256,0.33149,1.65006,1.43555,0.02303,0.00120491,0.00120491,0.00120491
16,1052.48,1.56715,1.55434,0.01612,0.64564,0.61241,0.645,0.3361,1.65706,1.39882,0.02353,0.0011719,0.0011719,0.0011719
17,1115.11,1.56166,1.51248,0.01609,0.64118,0.62534,0.65919,0.35824,1.60937,1.37595,0.02179,0.00113889,0.00113889,0.00113889
18,1180.24,1.54854,1.50641,0.01593,0.65606,0.5945,0.64344,0.35284,1.5984,1.41323,0.02145,0.00110589,0.00110589,0.00110589
19,1245.78,1.55309,1.48631,0.016,0.6624,0.61452,0.65415,0.34755,1.63661,1.40005,0.0226,0.00107288,0.00107288,0.00107288
20,1306.47,1.54298,1.46083,0.01588,0.66322,0.62574,0.66522,0.36609,1.60317,1.32763,0.02155,0.00103987,0.00103987,0.00103987
21,1371.24,1.52938,1.43325,0.01569,0.67027,0.63762,0.67363,0.36148,1.61582,1.35012,0.02215,0.00100687,0.00100687,0.00100687
22,1434.61,1.52736,1.44498,0.01575,0.67513,0.63297,0.67201,0.36924,1.59998,1.31773,0.02117,0.000973861,0.000973861,0.000973861
23,1498.5,1.526,1.42713,0.01564,0.68763,0.64653,0.69436,0.38482,1.58074,1.28775,0.02122,0.000940855,0.000940855,0.000940855
24,1559.16,1.51465,1.40662,0.01535,0.69002,0.6455,0.69649,0.38563,1.5875,1.28191,0.02117,0.000907848,0.000907848,0.000907848
25,1621,1.50963,1.3978,0.01522,0.70305,0.64439,0.69762,0.38851,1.58992,1.27588,0.02092,0.000874842,0.000874842,0.000874842
26,1683.14,1.51053,1.38509,0.01525,0.69533,0.64428,0.70155,0.39208,1.57605,1.26292,0.02075,0.000841835,0.000841835,0.000841835
27,1744.06,1.50031,1.36466,0.01487,0.69987,0.66357,0.71522,0.40194,1.5626,1.21985,0.02045,0.000808828,0.000808828,0.000808828
28,1807.09,1.48101,1.3532,0.01477,0.69632,0.66911,0.71256,0.40583,1.56042,1.23728,0.02035,0.000775822,0.000775822,0.000775822
29,1870.71,1.47948,1.34436,0.01451,0.70975,0.67086,0.7212,0.40468,1.56044,1.22131,0.02036,0.000742815,0.000742815,0.000742815
30,1934.91,1.47135,1.32209,0.01455,0.71074,0.67027,0.72289,0.41796,1.53901,1.20643,0.01983,0.000709809,0.000709809,0.000709809
31,2000.86,1.47281,1.28423,0.01449,0.71887,0.67126,0.7305,0.41998,1.5519,1.18772,0.02015,0.000676802,0.000676802,0.000676802
32,2069.79,1.46092,1.28345,0.0145,0.72936,0.67423,0.73687,0.42613,1.53509,1.16743,0.01972,0.000643795,0.000643795,0.000643795
33,2135.57,1.45977,1.25678,0.01451,0.72554,0.68121,0.73658,0.42416,1.53888,1.1613,0.01986,0.000610789,0.000610789,0.000610789
34,2200.92,1.45023,1.26247,0.01427,0.72374,0.68942,0.74389,0.43204,1.54407,1.1314,0.01975,0.000577782,0.000577782,0.000577782
35,2266.28,1.43187,1.23162,0.01396,0.72865,0.67965,0.74105,0.42688,1.53905,1.15292,0.01997,0.000544776,0.000544776,0.000544776
36,2329.82,1.43299,1.21892,0.0138,0.74337,0.69038,0.74512,0.43363,1.53986,1.12621,0.01972,0.000511769,0.000511769,0.000511769
37,2394.87,1.42914,1.20727,0.01385,0.74267,0.69468,0.75475,0.43684,1.52684,1.12109,0.01962,0.000478762,0.000478762,0.000478762
38,2455.72,1.42397,1.20233,0.0138,0.74909,0.69251,0.75574,0.4421,1.51819,1.11907,0.01941,0.000445756,0.000445756,0.000445756
39,2515.93,1.40903,1.19015,0.01375,0.75251,0.69773,0.76098,0.44861,1.50769,1.10836,0.01924,0.000412749,0.000412749,0.000412749
40,2582.22,1.40547,1.17959,0.01358,0.74992,0.69483,0.76174,0.44732,1.5078,1.10678,0.01921,0.000379743,0.000379743,0.000379743
41,2645.2,1.44928,1.04386,0.01605,0.73955,0.71161,0.76468,0.45275,1.50418,1.08384,0.01885,0.000346736,0.000346736,0.000346736
42,2707.58,1.44102,1.00001,0.01576,0.75017,0.70291,0.76474,0.45718,1.49298,1.07158,0.01863,0.000313729,0.000313729,0.000313729
43,2769.78,1.4187,0.98199,0.01541,0.76,0.71238,0.77463,0.46461,1.49784,1.04791,0.01877,0.000280723,0.000280723,0.000280723
44,2833.3,1.39965,0.95277,0.01503,0.77269,0.71233,0.77763,0.46738,1.48625,1.06005,0.0186,0.000247716,0.000247716,0.000247716
45,2894.56,1.39789,0.93213,0.01481,0.76777,0.71155,0.78121,0.4696,1.48256,1.05057,0.01841,0.00021471,0.00021471,0.00021471
46,2956.49,1.38656,0.91522,0.0146,0.77508,0.7128,0.78303,0.47105,1.48174,1.04052,0.01831,0.000181703,0.000181703,0.000181703
47,3017.16,1.38041,0.90956,0.01457,0.76629,0.72028,0.7829,0.47415,1.47739,1.03436,0.0182,0.000148696,0.000148696,0.000148696
48,3077.75,1.37292,0.89115,0.01432,0.7734,0.71954,0.78295,0.47473,1.47691,1.03435,0.01825,0.00011569,0.00011569,0.00011569
49,3139.35,1.36215,0.87997,0.01422,0.7762,0.72364,0.78771,0.47831,1.47391,1.03005,0.01819,8.26832e-05,8.26832e-05,8.26832e-05
50,3202.79,1.35839,0.87216,0.01411,0.7755,0.72458,0.78736,0.4781,1.47168,1.02871,0.0181,4.96766e-05,4.96766e-05,4.96766e-05
