epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,156.917,1.61218,2.75187,0.01684,0.51754,0.45242,0.44598,0.21368,1.76038,1.92487,0.02528,0.00997085,0.00332362,0.00997085,0.00332362,0.00997085,0.00332362,0.00997085,0.00332362
2,283.842,1.61422,1.77281,0.01677,0.48157,0.43365,0.40261,0.18638,1.88156,2.15509,0.02839,0.019872,0.006624,0.019872,0.006624,0.019872,0.006624,0.019872,0.006624
3,400.445,1.70217,1.808,0.01822,0.4743,0.46833,0.41971,0.17728,1.96973,1.98641,0.02976,0.0296741,0.00989138,0.0296741,0.00989138,0.0296741,0.00989138,0.0296741,0.00989138
4,515.858,1.77036,1.86953,0.01969,0.51995,0.48033,0.45044,0.19274,1.93118,1.93279,0.02876,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,631.218,1.75706,1.81529,0.0193,0.53776,0.50415,0.5031,0.23335,1.81066,1.84433,0.02631,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,751.873,1.69549,1.75144,0.0182,0.56669,0.51136,0.52593,0.24818,1.83261,1.70935,0.0267,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,868.277,1.70139,1.71514,0.01828,0.59876,0.56628,0.57402,0.28196,1.76739,1.55621,0.025,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,984.701,1.67606,1.64223,0.01785,0.58771,0.55802,0.57692,0.27998,1.76774,1.60006,0.02556,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1101.9,1.65138,1.61486,0.01744,0.62477,0.581,0.60782,0.30579,1.72038,1.52245,0.02411,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1224.12,1.64449,1.56112,0.01732,0.63216,0.59306,0.61955,0.31998,1.71217,1.44104,0.02356,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1345.21,1.62786,1.53931,0.01726,0.58963,0.579,0.58478,0.28582,1.7333,1.54342,0.0237,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
