epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,78.2328,1.55678,1.99208,1.62531,0.49928,0.48605,0.4331,0.19865,1.80516,1.84011,1.9034,0.00994186,0.00331395,0.00994186,0.00331395,0.00994186,0.00331395,0.00994186,0.00331395
2,154.166,1.51231,1.5453,1.56598,0.39772,0.40751,0.33618,0.13349,2.03853,2.51158,2.04032,0.0198431,0.00661438,0.0198431,0.00661438,0.0198431,0.00661438,0.0198431,0.00661438
3,225.317,1.62315,1.68021,1.65427,0.4155,0.43904,0.33999,0.13583,2.03502,2.5614,2.25564,0.0296454,0.00988181,0.0296454,0.00988181,0.0296454,0.00988181,0.0296454,0.00988181
4,293.263,1.61524,1.66369,1.65348,0.46039,0.50894,0.44249,0.19227,1.91324,2.07817,2.04345,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,361.848,1.57854,1.58645,1.62637,0.54448,0.53808,0.51186,0.23385,1.76383,2.06323,1.84406,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,431.787,1.54304,1.51902,1.60074,0.59086,0.53903,0.55107,0.26101,1.76234,1.58767,1.8408,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,503.584,1.51447,1.47248,1.57757,0.57549,0.53911,0.54557,0.26731,1.72316,1.60302,1.81398,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,576.366,1.49286,1.44285,1.57146,0.60499,0.56872,0.57442,0.28639,1.66916,1.53723,1.79138,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,647.651,1.45719,1.39416,1.54467,0.61295,0.58391,0.59779,0.30346,1.61742,1.54191,1.72018,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,718.909,1.44413,1.35381,1.5385,0.63893,0.60868,0.63206,0.32394,1.64087,1.39886,1.7402,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,791.006,1.42378,1.33137,1.51773,0.62897,0.60493,0.62378,0.31782,1.63385,1.43381,1.73534,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,862.026,1.40644,1.29597,1.49976,0.65016,0.63764,0.66616,0.35729,1.57244,1.30659,1.67317,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,932.896,1.40394,1.27341,1.49009,0.67479,0.64307,0.67289,0.35613,1.58272,1.30104,1.69052,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1000.92,1.38559,1.24102,1.47888,0.69138,0.64813,0.69157,0.37183,1.56808,1.26211,1.65378,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1069.76,1.37063,1.22881,1.47772,0.6516,0.64898,0.67572,0.35947,1.55277,1.27303,1.6607,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1136.8,1.35303,1.20709,1.45832,0.68956,0.64677,0.68698,0.36506,1.57795,1.23293,1.70295,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1204.44,1.34434,1.17278,1.44832,0.71281,0.66133,0.71756,0.39513,1.51551,1.18733,1.60666,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1275.23,1.3348,1.15473,1.4443,0.70707,0.66332,0.7125,0.39576,1.52067,1.16649,1.63017,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1347.34,1.31962,1.13393,1.44059,0.71887,0.6656,0.72339,0.40317,1.4932,1.14825,1.59966,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1418.55,1.30907,1.11704,1.4199,0.71403,0.67092,0.72001,0.39281,1.53018,1.17151,1.61824,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,1488.96,1.29662,1.09254,1.42124,0.72105,0.67078,0.72259,0.40509,1.49415,1.15604,1.60742,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1561.21,1.28913,1.08072,1.4091,0.73386,0.6751,0.74126,0.41434,1.49292,1.12221,1.5934,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1632.37,1.28037,1.06765,1.40258,0.73599,0.67399,0.73747,0.41302,1.48912,1.12121,1.59635,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1703.26,1.27233,1.05629,1.39323,0.71184,0.69567,0.74204,0.42148,1.46864,1.11148,1.57876,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,1775.33,1.25359,1.02548,1.38077,0.72304,0.68729,0.73831,0.41713,1.49124,1.12038,1.58879,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,1844.12,1.24482,1.00901,1.3771,0.72693,0.68814,0.74594,0.42776,1.46495,1.09769,1.58167,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,1912.13,1.23806,0.99788,1.36809,0.74438,0.68115,0.74698,0.42894,1.46949,1.09063,1.58798,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,1979.77,1.22744,0.9892,1.36024,0.75143,0.71445,0.76961,0.44535,1.45396,1.04863,1.55819,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,2047.17,1.22361,0.97491,1.35497,0.73855,0.72386,0.76801,0.44831,1.44324,1.02821,1.56144,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,2115.19,1.21146,0.96127,1.3472,0.7666,0.71459,0.77296,0.4543,1.44068,1.0238,1.56671,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,2182.71,1.19808,0.95059,1.33727,0.77173,0.72497,0.78645,0.45873,1.43924,0.99189,1.56584,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,2250.71,1.18335,0.92877,1.32555,0.75587,0.72241,0.78252,0.45827,1.43824,1.01047,1.55251,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,2317.53,1.17406,0.91378,1.32731,0.75518,0.73689,0.78809,0.46507,1.42333,0.99267,1.5427,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,2385.12,1.17286,0.91098,1.32572,0.76463,0.72319,0.78295,0.46014,1.4336,1.00793,1.54583,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,2451.92,1.16126,0.89651,1.31435,0.78677,0.72951,0.79741,0.47643,1.41992,0.9775,1.54639,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,2518.96,1.15431,0.88365,1.31126,0.75727,0.73043,0.78369,0.46133,1.42945,0.99448,1.55838,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,2585.29,1.14567,0.86157,1.29532,0.77813,0.73738,0.79826,0.47884,1.40995,0.96527,1.53855,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,2652.7,1.13905,0.86633,1.29856,0.77221,0.73889,0.79437,0.47796,1.40908,0.97224,1.5533,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,2718.7,1.13813,0.84267,1.29581,0.77326,0.74293,0.79715,0.47914,1.40905,0.95114,1.54279,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2786.21,1.117,0.83019,1.28418,0.77624,0.74039,0.80404,0.48674,1.40627,0.93953,1.54422,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,2853.61,1.10275,0.81527,1.27247,0.77279,0.75176,0.80518,0.48639,1.40385,0.94806,1.54234,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2920.37,1.11046,0.818,1.27161,0.79072,0.76072,0.81077,0.49691,1.39643,0.91676,1.53909,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2988.18,1.09772,0.81301,1.26696,0.79932,0.75452,0.81393,0.49672,1.38931,0.92447,1.52414,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
