epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.016,1.67616,2.00699,1.71891,0.34127,0.34673,0.26613,0.09814,2.06969,2.42345,2.14848,0.000554371,0.000554371,0.000554371
2,340.808,1.72067,1.92085,1.7666,0.44187,0.46167,0.43034,0.18355,1.91626,1.98815,1.99843,0.00108806,0.00108806,0.00108806
3,507.001,1.68986,1.86471,1.72937,0.41599,0.46034,0.42395,0.17982,1.92891,1.90998,1.9792,0.00159974,0.00159974,0.00159974
4,671.831,1.6439,1.77072,1.70179,0.49249,0.51103,0.47727,0.21418,1.79652,1.88028,1.87015,0.00156798,0.00156798,0.00156798
5,835.878,1.59167,1.697,1.65858,0.54137,0.54087,0.52545,0.24434,1.76358,1.67482,1.85224,0.00153497,0.00153497,0.00153497
6,1000.53,1.55282,1.6246,1.61908,0.53739,0.52916,0.50331,0.22953,1.84096,1.73852,1.8915,0.00150197,0.00150197,0.00150197
7,1165.72,1.52898,1.58338,1.60993,0.59829,0.55236,0.57228,0.28057,1.71254,1.53932,1.77891,0.00146896,0.00146896,0.00146896
8,1332.32,1.50801,1.54396,1.59281,0.57384,0.56834,0.56352,0.2726,1.71226,1.55858,1.7618,0.00143595,0.00143595,0.00143595
9,1497.54,1.49394,1.50198,1.57826,0.62232,0.57115,0.59633,0.30288,1.65056,1.50647,1.72727,0.00140295,0.00140295,0.00140295
10,1663.93,1.48377,1.50428,1.56767,0.61191,0.57741,0.59551,0.30182,1.65607,1.50968,1.74004,0.00136994,0.00136994,0.00136994
11,1830.25,1.48212,1.4853,1.56355,0.62886,0.56526,0.59698,0.30135,1.65063,1.48892,1.73881,0.00133693,0.00133693,0.00133693
12,1994.97,1.4518,1.44341,1.54414,0.5807,0.59175,0.60468,0.31135,1.59858,1.47299,1.69437,0.00130393,0.00130393,0.00130393
13,2159.43,1.43524,1.4184,1.52823,0.62719,0.60952,0.63075,0.32602,1.61653,1.39854,1.70121,0.00127092,0.00127092,0.00127092
14,2323.04,1.43129,1.40848,1.52188,0.64785,0.6198,0.64548,0.33634,1.58797,1.35952,1.68127,0.00123791,0.00123791,0.00123791
15,2486.87,1.41616,1.3738,1.51943,0.66283,0.61423,0.66244,0.35433,1.56939,1.31356,1.65859,0.00120491,0.00120491,0.00120491
16,2651.89,1.41184,1.35598,1.50742,0.66049,0.62173,0.65228,0.34229,1.58197,1.34721,1.68203,0.0011719,0.0011719,0.0011719
17,2816.14,1.38744,1.32285,1.49404,0.63112,0.62644,0.65285,0.34973,1.57013,1.31733,1.6782,0.00113889,0.00113889,0.00113889
18,2979.81,1.393,1.31916,1.50216,0.66514,0.61954,0.65706,0.3487,1.58059,1.32628,1.67502,0.00110589,0.00110589,0.00110589
19,3145.58,1.39012,1.3173,1.49923,0.66628,0.63061,0.67567,0.36852,1.51359,1.26537,1.62622,0.00107288,0.00107288,0.00107288
20,3311.5,1.36954,1.28151,1.48605,0.65384,0.6235,0.65186,0.34752,1.56257,1.30496,1.66494,0.00103987,0.00103987,0.00103987
21,3475.87,1.3598,1.26648,1.47473,0.67763,0.6403,0.68187,0.37519,1.50522,1.245,1.628,0.00100687,0.00100687,0.00100687
22,3640.21,1.35713,1.26395,1.47467,0.70393,0.64843,0.70223,0.39089,1.50367,1.22128,1.60134,0.000973861,0.000973861,0.000973861
23,3805.02,1.3436,1.24414,1.46708,0.6885,0.65094,0.70144,0.39022,1.49551,1.20619,1.60773,0.000940855,0.000940855,0.000940855
24,3969.77,1.33672,1.2212,1.4595,0.69276,0.64926,0.69879,0.3793,1.50488,1.23598,1.60885,0.000907848,0.000907848,0.000907848
25,4135.73,1.33266,1.21264,1.45219,0.69214,0.67313,0.71102,0.39533,1.48182,1.17981,1.5889,0.000874842,0.000874842,0.000874842
26,4303.32,1.32735,1.20065,1.44708,0.7037,0.65293,0.70687,0.39416,1.50067,1.18613,1.6116,0.000841835,0.000841835,0.000841835
27,4471.51,1.31628,1.17566,1.43559,0.7198,0.68081,0.7328,0.41336,1.47287,1.12701,1.58466,0.000808828,0.000808828,0.000808828
28,4637.57,1.28832,1.15901,1.42284,0.72603,0.68295,0.73313,0.41493,1.46891,1.12377,1.58315,0.000775822,0.000775822,0.000775822
29,4802.45,1.29509,1.14273,1.41842,0.72183,0.68431,0.73782,0.41328,1.4598,1.13683,1.5768,0.000742815,0.000742815,0.000742815
30,4966.2,1.27675,1.12103,1.40905,0.72966,0.69061,0.74186,0.42582,1.45787,1.09494,1.57612,0.000709809,0.000709809,0.000709809
31,5130.11,1.27004,1.10737,1.40634,0.73923,0.69169,0.75006,0.42993,1.4573,1.08911,1.56383,0.000676802,0.000676802,0.000676802
32,5293.61,1.25964,1.09841,1.40073,0.73954,0.70791,0.76067,0.43531,1.44304,1.06733,1.55856,0.000643795,0.000643795,0.000643795
33,5458.03,1.2519,1.06477,1.3917,0.74106,0.70303,0.75974,0.43548,1.43907,1.06649,1.56085,0.000610789,0.000610789,0.000610789
34,5621.73,1.24421,1.06655,1.39189,0.75139,0.69324,0.76134,0.43982,1.44035,1.06287,1.55447,0.000577782,0.000577782,0.000577782
35,5786.25,1.2245,1.04421,1.37604,0.75045,0.70999,0.77046,0.44384,1.43917,1.0393,1.55938,0.000544776,0.000544776,0.000544776
36,5950.73,1.22359,1.02903,1.36768,0.75891,0.7152,0.77593,0.45195,1.43089,1.02741,1.55857,0.000511769,0.000511769,0.000511769
37,6116.06,1.21559,1.00889,1.36392,0.77574,0.71292,0.78155,0.45486,1.41393,1.0114,1.53849,0.000478762,0.000478762,0.000478762
38,6280.33,1.19999,0.99791,1.35843,0.75915,0.72736,0.78622,0.46086,1.40073,0.99984,1.53908,0.000445756,0.000445756,0.000445756
39,6444.5,1.1954,0.98623,1.35616,0.76796,0.72259,0.78738,0.46693,1.39258,1.00484,1.52039,0.000412749,0.000412749,0.000412749
40,6608.3,1.18038,0.96859,1.3395,0.76523,0.72453,0.78503,0.46585,1.39054,0.99147,1.52612,0.000379743,0.000379743,0.000379743
41,6772.14,1.22754,0.89554,1.3804,0.76395,0.73179,0.79052,0.47186,1.38261,0.97754,1.5188,0.000346736,0.000346736,0.000346736
42,6935.39,1.2089,0.85854,1.36966,0.7722,0.73719,0.79445,0.47767,1.37377,0.96762,1.51785,0.000313729,0.000313729,0.000313729
43,7099.13,1.19112,0.82941,1.35683,0.77472,0.73857,0.79758,0.48089,1.3738,0.9555,1.51461,0.000280723,0.000280723,0.000280723
44,7263.28,1.1694,0.80355,1.3448,0.77793,0.75255,0.80691,0.4903,1.36128,0.945,1.50778,0.000247716,0.000247716,0.000247716
45,7428.57,1.1495,0.77503,1.32359,0.78424,0.74714,0.80851,0.49156,1.35861,0.93996,1.50974,0.00021471,0.00021471,0.00021471
46,7594.52,1.13588,0.76081,1.31656,0.78265,0.75455,0.81046,0.49507,1.35864,0.92544,1.50835,0.000181703,0.000181703,0.000181703
47,7760.67,1.12293,0.75242,1.30883,0.77801,0.77124,0.81451,0.49954,1.35183,0.91811,1.50828,0.000148696,0.000148696,0.000148696
48,7926.35,1.09944,0.73098,1.2913,0.79423,0.75392,0.81304,0.50041,1.34755,0.91351,1.50954,0.00011569,0.00011569,0.00011569
49,8090.83,1.08853,0.71105,1.28564,0.7984,0.76345,0.82145,0.50661,1.34226,0.89992,1.50787,8.26832e-05,8.26832e-05,8.26832e-05
50,8256.21,1.07509,0.69771,1.27535,0.79901,0.76946,0.82255,0.50939,1.33901,0.9,1.50183,4.96766e-05,4.96766e-05,4.96766e-05
